,review
257," can shoot trains in the direction of Yokohama, but the problem is a problem .... "
258," Anyway, there are many passes, so take care of the subsequent trains.It stops only very uncomfortable.Besides, it was stolen from this station.The damage was tens of thousand yen.The station came to my head because of the bad attitude.The elevator is only the north entrance./The second station in Keikyu Sunnagawa. "
259," Anyway, I am angry/I use it occasionally.But it's dirty ./ Anyway, if you ask ???? "
260, It is a minus that the toilet is not so clean.The atmosphere of the mood/a young man with a bad pattern can endure/OK supermarket.
261, I am inconvenient because there is no express during the day. 
262," due to the influence of typhoons, it has been raining in tremendous momentum since the afternoon, and the quantity of Tachikai rivers in front of the branch's branch has increased intense.Finally, up to 30cm below the embankment.All of the male staff, I wore a kappa to build a toho, preparing for it.The legs that are somewhat downstream have begun to see the water overflowing slightly, but the typhoon has passed and safely out of the egg.It's an interesting street with frostbite ?? "
263, is not good but lonely.There is no vibrant at all. 
264," is a walking book of leisure.Kei Hin Express Station, near the Sinagawa Aquarium.There was also a redevelopment movement, but it doesn't change at all.I am weak in the station where the express stops (enrollment and peace).As a reverse, it is not particularly characteristic.The crowded time zone is overflowing with people and feels difficult.All of the stations that only stop each of the Keikyu station are not easy to use.I can't stand it! "
265," However, it is because there are many stupid walking down with a walking smartphone.It is wide and usually stops, express, express and three types, but the speed does not stop.I think there are so many! "
266," I had a lot of chaos during my commute.I wanted to give it, but I would like to be overvalued because I don't like it."
267, unintentionally I took a shame ~ !! 
268, station.I think it's very difficult to move to the station without an elevator. 
269, seems to be new.worst.It does not change even after a few years.It is the lowest enough to think that I don't want to ride again.It cannot be compared with JR.Can't you say normally?Lick the hospitality?It's really the lowest.
270, infant was hell.There is no. 
271, This extremely long and complex structure is a negative point for users who actually use the station to the home by transferring the station. 
272,"For local residents who have been dating, the passage of airport pleasure is nothing other than betrayal."
273," Keikyu Kamata Station, so be careful!!!!!!!!!! "
274,1 The front space of the station is prohibited. 
275,5 -numbered lines of the fuck of the fuck of the first line of the fuck (not some of the stations) 
276,2 floor groove and the third floor.I didn't even think of it (； д ｀) 
277, Daiichi Keihin's identity has been resolved.: The connection is bad. 
278," But I think it's easy to know that it's easy to know at 20 minutes with an airport pleasant.The northern exit ticket gate is removed, and the shape of the long station is very difficult to use.I want you to relieve it.I hate the morning kamata dash and I don't use the plating gaecyu. "
279," smells very cigarettes, "
280," small escalators are written on the long theme, and the time to get up and down is long.It is difficult for the native groove to use and inevitable.Design that does not think about the user's work.Every time you transfer to the airport line of the day, you are frustrated.Because the legs are bad, JR Kamata uses one coin bus./ The speed of the escalator of the home (3rd floor) row in Yokohama is slow.It is also in its own way, so I want you to speed it up slightly.I was a little surprised by a series of surprises, the exit of the Kamata station itself was only in the back of Haneda, so it was quite difficult until I came out of the car that came out.I think it would be a shame, and I got a chance to use this station because it was a hotel near the Tokyu Kamata Station and used a hotel near Kamata Station, but around the station, in front of this station,I want to go again.I go to lifer or shopping, but there is also Cozy Corner.I go to purchase…/The arrival of the train is not known. "
281," It is clean and excellent./There is only one entrance in a huge station.Even if you want to eat quickly, there is no store you can choose.Dead Space is full of boring stations.I think it's easy to remember if you check it on the billboard."
282," I am disappointed.Time is likely to be overflowing at home and feels dangerous.There are escalators and elevators.There are all kinds of shops on the street, so it makes you enjoy it just by looking at it.The front is spacious and the mall is thriving.Therefore, it is dangerous without a home door./I tried to eat near the station, but I was only discovered because it was found only from the bars of the lunch box or the pub in the evening.Sit in a nearby supermarket and take a break.It is severe: the building is quite clean ./ It is a favorite station.Use./ It is impossible and impossible."
283,I don't do it. 
284, was very scary. 
285,I'm sorry. 
286, I don't want to break my legs between the house and the train.. 
287," If you realize it has changed to Kyoto Qtta Kawasaki Station!Men's station, attitude is too bad.I use professional terms that do not answer this question clearly, and at the end of the meticulous end, the expressions and words are rough ... "
288, is too crowded to know the people next to it (^_^;) 
289,"There is a place to be losing, and the congestion is pressed, "
290," The station in the home was very fat and unpleasant.The transfer with JR also passes a lot of signals, so it's very inconvenient.Ah! But foreign countries are quite far away. In the old days, there is a hard destination.But greed, you want a more faithful installation.You can use PASMO.It is connected to Haneda through the Kamata Station.It is connected to the Tokyo Skytree (Osiage Station), so you don't need a transfer by taking a train to Aoto.It's more convenient than where you need a transfer in Tokyo./ Convenient and use it at a few o'clock ./ Home doors, clean and easy to use/????????????????????There are racetracks of Kanagawa and Kawasaki Horseriding Associations, American football stadiums (baseball stadiums), and racing fields.Therefore, several sports and horse riding newspapers are sold in the kiosk of this station (the frame is licensed from 7-eleven de jap? N ltda). "
291, It was a very difficult station. 
292," is less unexpected!If you don't do it anyway, it seems to be delicate of suicide anyway./Jo-a station that should not be used when you don't have time. "
293, (I failed) (I failed) 
294," is a very annoying station when used as a passenger, and the branch line has a time zone where the train does not come at all.I think the evening exposed to a strong West is midsummer.And when you get on and off, you may have been mistaken for a lot of money if you don't stab an IC card on a dedicated terminal at home, and it's possible to get a lot of money (what will happen to the table…)Conversely, the scenery of the light and local sensitivity is very moody, so there are some things that come even more people who are not trains like me.I don't think there's any damage once in a lifetime.JR's passenger response is also carried out by Keikyu Station. "
295,Inside) (Oda Sakae and Hamagawa Wasaki)/Keikyu's crossing has been seen several times in a painful accident that dies in the Internet or television. 
296," may be bad or JR is bad, but I want you to post properly. "
297,"The area around/station is convenient, but I keep thinking that it will be open quickly because it feels bad because it is very dirty and strange in the bathroom.And I hope you will open the first line that is not used.Because I have a lot of elevation, I suffer from getting on and off, so I usually stop.In addition, the number of elevators is 28872 (2016).Is it too excessive to be an airweight passing station?Unfortunately I couldn't go to the station.Next time, this Keikyu is possible./ At the press school that extends from the station, many railway ships such as JR and JR cargo ships are as well as the Keikyu Line.I want to make it.Cold and hot.The station that doesn't feel motivated/went down to the first time.Barley station.Signs of Barley specifications over the giraffe beer.Naturally there is a giraffe vending machine.It is a scenic landscape.It's uncomfortable to commute.!/It's quite dangerous.It was also covered on TV.There is quite a distance from the stationary look to the groove.The station is not wide, and there is an atmosphere of Shimoachi.It is also a station waiting for passing.It is a representative courtesy who knows nothing but thinks about nothing.There are also cases of transfer in Kamata.There are many fast -paced luxury exiles, so it is surprisingly fast until Sinagawa.If you transfer to Yokohama with a pleasant specialty, you will arrive quickly, but if you try to transfer to Yokohama Line in Higashikanagawa, the connection will be bad, so you will see the express pass.It is a place where you can taste realism.Thanks to the barley incident, it is known nationwide.(Separately knowing where you are), there is no way to say that it is a long way,/special, and it is extremely normal.It is not lively, especially if it is not lively, it feels a bit lonely.Crossing the national highway, the Giraffe Beer Factory will notice to claim the presence.The station itself feels a bit lonely and a little lonely ./ Many users are usually stopped. "
298,"Since the compensation was not paid, Satsuma Burns did not surrender. "
299, will be difficult. 
300,It is uncomfortable in the car of the car. 
301," because of that, it is a bit uncomfortable because it is necessary to cross the crossing on the first gay highway.There is a narrow and sharp feeling of each stop "
302," It is hard to use Shinko Yasu Station, but Koya Station makes it more irritating.It is fun to see the train.It is also uncomfortable because it can only be entrance from the island of the gay Hin express and the island of the JR track.There is a mall on the inland side, but you have to go through the underground passage.It's not lonely, or security is extremely bad, but you don't want to use it.I've been waiting for the last 15 minutes, and it was a new record…Why don't you go to the south when you make the underground road, and why you don't want to make it.Keikyu has a narrow home, has a lot of handling of guests, and few people use it.Because of this, there are many Brakke companies that can't go without using Keikyu.Congratulations on pasting on the train, but is there anything else?Maybe this.If the underpass is unreasonable, if you make a press bridge, the train will end up and you will end up in one minute.What are you thinking?. "
303," Keikyu?Just listening to the route that you do not want to use in the future and the input will be used.Everyone is thinking about the same thing, but it's amazing why it is not improved./It seems to have a suicide frequently jumping from the groove.Shino Yasu Station is adjacent to the station. "
304," If the train continues, it will be frustrated.Mr.'s voice is a good voice ./kyasu station"
305,"2019, in November, the express train hit the truck that was thrown in the crossroads next to it."
306, There is no escalator in the station. 
307," because there is an old history,I am sorry that the number of users of the user is narrow and there is no escalator or elevator. "
308," is always angry, "
309," Please think better??/In Kanagawa Sinachi Station, 10 cars in November 2019 passed the train of the 10 -year -old Misaki Guchi Station, so when the foothold was closed, the truck that was trying to cross the road entered the scaffold, and the pedestrian pressed the emergency stop button and the footsteps were opened.I thought it was to come out, but the scaffold was closed again, and the first and second derives of the death Keu was very derailed.In this accident, Keikyu had been working for two days, and the train, which had been working on, resumed driving.It was 11 o'clock in the day to resume driving.With this influence, I did recovery work late at night.Derailed vehicles have been abolished.The truck driver went in the direction of the navigation.The most dangerous is the passage train of the delightful Misaki Guchi Station.Be careful of you.When will the station building be? "
310, Mutual ride was also rejected 
311," has a lot of shops such as department stores.I didn't know that the Nari -Express ticket to Narita Airport was a Shinkansen ticket purchase device, and I searched for a long time at the entrance.It is as it is without guidance.Thanks to this, I lost 4470 yen.I don't have a refund and the station attendant can't speak English and I do n’t know.I only said that I was going to ride a Sea Bass at Yokohama Station "
312, I am scared to say to the station.? 
313, is also crowded at night 
314," or a celebrity was inferior, so it was desperately encouraged."
315," is a famous province that is known as the village of Kidsmin, which is well -known, but I think it is already a level of illness to be involved in Okama as a result of Okama (laughs)/around 14 o'clock on December 15, 2023I asked a question at the west exit of the line, but the attitude of the station was bad and unpleasant.The response was very caught and it was scary to use the train.I don't want to use Yokohama Station in the future.Definitely educate.However, now, the construction is generally completed, so there is no problem in terms of convenience.It can be cleaned after a long time after the construction is over. "
316," It must have had a other way to the platform or there was an elevator nearby, and I couldn't find it, and I was in a hurry to ride NEX.One thing that is noteworthy when you ride NEX at the station is that NEX does not come often as in other stations such as Sinagawa and Tokyo, because the station receives the NEX train from various routes, while the Yokohama station receives a single route.I had to wait 1 hour and 26 minutes until I missed Nexa, but I just went to Sinagawa and took one in 20 minutes."
317, is still late.!! 
318, I was very worried that there was no home door. 
319," Today, Ueno Tokyo Line is more than 5 minutes of delay.Are you not sleeping?/It's like a big city!Railway fans, it's a shooting place, but be careful!Blue Light Yokohama is "
320," is a calm city!!/""This is a review of the use of strollers. It was a very unkind station. "
321," is a very wide station, but if you use a stroller, it's complex, unkind and unkind and the worst anyway (-)?Unknown fire on the site?Smoke "
322, I felt complicated by the exit of Minami east. 
323, congestion ★ ☆☆☆☆ 
324,", but I can't pass it because I can't pass."
325,", on the contrary, there is a crowd that is somewhat bad and bad.Hunting San or handwriting…"
326," Currently, Yokohama Station has the largest number of railway operators in Japan.I left it, but I was busy, so I have a coin locker time limit, but I don't take the last time for 4 days.The business attitude of the tone of the tone of the employees is bad "
327," is already annoying, but the corresponding staff is overwhelmed, but the large volume of the volume is also lung in the train, but "
328," I think it's an excuse to say, ""I don't know Japanese.""The business attitude of the business is not so high, and the police station falls immediately "
329, went to Yokohama by traveling in a map/rural map to know the place of the home.The attitude of Mr. was the worst.I tried to pass the ticket gate using zinc. 
330,Too crowded and messy place/parking is difficult and unable to meet 
331," is complicated ~/Complex ..There are few seats in major restaurants such as Bucks, McDonald's, and Papis.The tremendous amount of saliva or tissue is on the ground, so it can reach the wheel or floor of the cart depending on how close the bag of baggage is on the ground.It is best not to do it. Most of the Chinese people I met were kind, but there were a few Chinese people who were rude and racist.The Flushing Library was doing it with me as if a Chinese guard was a dog.And the library has been open for 10 minutes, and employees can really be a ghetto regardless of race. They like to be chased and noisy in the library.The market can use the money to pay a luxurious vacation cost for yourself and the employee. If possible, go out from New York. "
332,"mta bus can be transferred and connected: Q12, Q13, Q15, Q15A, Q16, Q17, Q19, Q20a/B, Q25, Q26, Q27, Q28, Q34, Q48, Q58, Q65 and Q66;MTA Limited Bus: Q17 LTD, Q25 LTD, Q27 LTD, Q50 LTD, Q58 LTD and Q65 LTD MTA selection bus service Q44SBS;N20g of NICE bus;And to the Fortwashington branch of LIRR.Few people speak English on the road.99%of them are Chinese.Flushing's supermarket is all in Chinese, and most of them are Chinese.It is very convenient to live in Chinese because it is almost indicated in English.But Flushing is dominated by Chinese people, so environmental hygiene is not very good.Basically, the characteristic of flushing is dirty and messy.If you walk, the New York police can't crack down and you can do it.Anyway, Americans rarely go there.But I remember that there were so many people.The same is true now.Except this time.There were so many people anxious and some did not wear a mask.Anxiety overload/""Very rude employee. I have met a lot of rude people for the rest of my life, I have experienced these staff, and I realized that my previous experience was nothing. I heard that I will start a YouTube channel.How to be rude 101. "", Not the worst and the best.The train stops and is always crowded every time everyone gets off.I just want the new steps to be modified quickly .../The final destination, Flushing ST Station, train 7 and LIRR (Next Block) Transit Long Island, Jamaica, Whitestone, Bronx, City Island, Bronx Zoo, COOP City Pelham BayVarious transit bus/Good place, and above all, clean/terrible and dirty subway station ??/The busy and busy city business district.There are many street vendors./ There are two entrances, so I like to go through the crowded area to go to Roosevelt and Main intersections or walk upwards in the union direction.Much more peaceful.Luckily my bus is right next to a peaceful bus and the murals of this station are there.I didn't know that it was the longest.But be careful with the criminals here!/An employee in the booth was rude and non -professional.She thought I was attending, but not in reality.Suddenly the machine was reduced and canceled the transaction and lost $ 15.The only help I can get was to call 511.Anyway, what is her problem, she's not suitable for this if she can't afford any pressure.Yesterday I was kindly asked if my card didn't work and helped me to transfer the balance to another card (two cards were damaged and one was good).She put my damaged card in her machine and showed me a bad face and continued to say, ""My computer can't read it.""“Then ask how to use the balance.She did not give me any solution.He continued to say, ""My computer can't read"" and ""Next.""next.""Next"" It's not over, but why did you call next? I hope you need more training.It's not just like a ticket seller who sells tickets.You need a service that is not so difficult. Bad experience./ It's so dirty that you don't have confidence in eating in the restaurant/perhaps one of the best stations in the entire system (IMO), and the train runs very often during the commute.It is very crowded due to dozens of bus routes that always stop here. The station itself is always clean and trash. There is a two -layer at both ends of the station, both of which are stationary booths.The Irish platform and three tracks are always used./This station is designed to accommodate about half of the passengers. It is very crowded in the morning commute time, but the train comes every 3 minutes.The streets of the mood of the mood/I used this role in high school, and I believe in me, and it's too crowded.Wouldn't it be a lot of money to build a train line? Of course, it will cost a lot, but it will not only benefit the elites, but will be rewarded.It is always a great experience to explore the origin of nature and culture!Especially in the peak time zone, it will slow about 10 to 15 minutes. Otherwise, it takes about 30 minutes by express in the peak time.See the red arrow to the train and tell me whether the weather is usually a train or express train.Especially in a hurry, it is very useful.Look a little ahead ./ The main street is the main street.I think I need a book to explain the taste properly.Many people pass by relatively quietly.The bathroom is usually open.It is safe even at night./ It would be nice to extend the train from Roosevelt Avenue, 149th ST, and 11th AV to College Point Blvd.More than 10 people were waiting in line to use the machine.Excellent service.The middle floor is wide and crowded during commute.A sign that guides you to the required bus transfer place.There are many bus routes.Every morning, the train to Flushing is so delayed that it may take 10 to 15 minutes to move from the Mets/Willet branch to the main street station.The booth staff are really rude and screaming at the customer for no reason.They clearly have no educational background.""Why do I need to help you and treat you like you?!""lol.This is the appearance of our MTA employees .... Only New York's best people!Teach the city employees how to act politely, and if you can't do better than GEDs, send it to at least a charm school.Damn it shame./ crowded and dirty.The escalator does not continue, and passengers are still pushing to enter the train while they are still trying to get off the train.In particular, as the weather got colder, there were more homeless people.There was a really terrible body smell all over the station.I know that she doesn't like her job, but she was still rude. "
333," is dirty.Crowded and dirty.It's not safe, crowded and unclean.There's a!/Train management is inappropriate and is delayed every time. "
334," is an excellent customer service girl/a good stop.Sometimes sometimes smells of urine.In summer, it's as hot and crowded like hell..Non -managed, as busy and full of people before Corona./Good place/This is a homeless shelter and is full of very rude Chinese !!/Well.I don't mention it, but I'm honestly dirty and ugly./It is a good place to meet new people.Let us come and go out./I like to ride the subway./There are many good Asian restaurants./ Awesome experience./ Next is a picture of Flushing Main ST in 1939./ The people pushing and pushing are too crowded/R188It was announced as Flushing-Main St./ The best train service in our city/dirty.Always broken escalator.I'm crowded: I wonder why it smells .../I need to maintain/every day here ㅋㅋㅋ/Great.So overcome!??/busy.busy.I'm busy./B/Well Service"
335,"It is a basic and functional station, but not gorgeous.In most cases, I don't wait for a long time, but I have nothing more to say.On a rainy day, water is piled up in a certain place, which can lead to a huge pool.It's not ADA complaints.You can use free shuttle buses from the main street here ... You can enjoy boarding/not the best station, it is not the best station, it is impossible to access the bathroom or wheelchair, but it is easy to find and always provides service, flushing parks, shops, restaurantsIt's close to it.great.More than 500 people are waiting for the shuttle in 39 degrees.It's not okay.There are so many people who push you and push you!Some elevators have a cable tape.And those three small wooden doors should be gone./ When there is a big event in the Flushing Mado-Corona Park, it is very crowded to the 111st Street of Subway Line 7./ Very dirty/great?I like it ??…/There are seven express trains on this station.There are too many pigeons !!!!!!/Work training/I looked good/dirty garbage/service is not good."
336,"I am at least two feet taller than everyone in this station.If you go to the street, it's really a third world.I wonder why I immigrated from corrupt countries.It is not so bad to act as if I am ready to close the door when I start talking with one of illegal vendors.Most of us are paying for free here.You can't get worse here.To confirm that Corona has made progress in the last 30 years, you only need to have two mice who died on the street.I put it on the card.Then I went to the exchange and asked me to put the amount I wanted in the card, and the machine told me that I had nothing to do with myself as much as I had to go.Try it.It is not written anywhere in the station and it is completely unfair.I feel robbed !!In addition, the machine's machine must break down at that time and cause delay to the user.This should be modified and alleviated by the train station user.Please do it somehow !!!/This Walgreens administrator seems to like to keep your customers in line.Very time waste.Try not to come here.It may be a very slow service or lack of manpower.I don't understand why I like people waiting for a long line.And I wonder why this review is on 103th Street Corona Plaza ...Like the third word, there are a lot of traffic, dirty street and street food stalls.I made two $ 50 bills by mistake to buy a seven -day pass, and I realized at night.So I came again tomorrow and I told you to go to find yesterday and told me that there was nothing. "
337,"The male staff at the window hires two soldiers and steals one of them.People just push and push to descend the stairs.This station requires two more outlets, from the platform to the distance.There are many new feces on the floor.7 organizations are frequent, but the train is smaller and smaller than the E train.Overcrowded trains, signals are old -fashioned and always malfunction, causing a wide range of delays.This train arrives continuously, so there are three stars.If you're not good at everything else, you can at least do one thing.The only missing one is a wheelchair approach. "
338,"of.many.Bums.a.quiet.Area./ It's a really nice day.Thank you for all that God has given us.Enjoy a lot of blessings and happiness.You can make a renovation work like the other seven train stations.Thank you for changing your system today.The protection and security have been strengthened, making it more confident.This area is very dangerous at night.It's helpful a lot/Super, great information/how well you repaired, how clean it was/I lived here for 20 years, and that's why.Since I started to display, there are 4 stars/XD I don't like many people/I have a lot of kind people/great/great service/very good place ..../terrible service!/Good place/busy subway stationIt's a subway station.Thank you./It is better to know the traffic situation./Nutrition Club 103_10 ROOOSVELT AV/Very good ??/It's great ??????…/It's useful/push and push/It's beautiful.The MTA must renovate this 1776 station.now????I'm tired of broken stairs and paint on my head./Junction Blvd and Roosevelt's corner is so terrible to walk because it is full of worse merchants than the market and it looks terrible.Will.The MTA staff was very difficult to understand.Is there a broken English?Do you have any money on the card?I checked at her booth and obviously asked a foreigner because it was 0.00.The minority police officers could not search me so that they could not give a simple answer, so I walked to the Grand Avenue next to the Queen Center and refused to ride a free ride with tourists.I refused to pay for the failed system.It can be better like NYC's people.When snow falls, the stairs are dangerous and no one is cleaned.A rude counselor who takes attitudes when needed.Dirty elevator and platform.It is the most disappointing station I have been to, especially during commuting time, always runs frequently.There is a completely ADA regulations and no garbage.I can read my debit/credit card, but I can use the cards quite elsewhere and I can't read it in good cases.Is always crowded ./ There are many shops around, and there are many shops around./The service on Line 7 is very good and good.The same: Luxury Juan/New York is fine and politics is not interested in our necessities.It's so bad.My friends have been blamed because I pronounced/blvd ""belved.""Never go home late/Various dresses and very cute/seasonal standards.Ugly Latino/Excellent Location and Route/Very Busy Region/Very Good/Perfect Place/Various Spanish People/Very Interesting Places/Good.Tint/Very attractive/because I work in this field!./ Baccano/Tamale/Tremendous!"
339,"MID is a terrible reverse ??The MTA must renovate this 1776 station.now????I'm tired of broken stairs and paint on my head./Junction Blvd and Roosevelt's corner is so terrible to walk because it is full of worse merchants than the market and it looks terrible.Will.The MTA staff was very difficult to understand.Is there a broken English?Do you have any money on the card?I checked at her booth and obviously asked a foreigner because it was 0.00.The minority police officers could not search me so that they could not give a simple answer, so I walked to the Grand Avenue next to the Queen Center and refused to ride a free ride with tourists.I refused to pay for the failed system.It can be better like NYC's people.When snow falls, the stairs are dangerous and no one is cleaned.A rude counselor who takes attitudes when needed.Dirty elevator and platform.It is the most disappointing station I have been to, especially during commuting time, always runs frequently.There is a completely ADA regulations and no garbage.I can read my debit/credit card, but I can use the cards quite elsewhere and I can't read it in good cases.Is always crowded ./ There are many shops around, and there are many shops around./The service on Line 7 is very good and good.The same: Luxury Juan/New York is fine and politics is not interested in our necessities.It's so bad.My friends have been blamed because I pronounced/blvd ""belved.""Never go home late/Various dresses and very cute/seasonal standards.Ugly Latino/Excellent Location and Route/Very Busy Region/Very Good/Perfect Place/Various Spanish People/Very Interesting Places/Good.Tint/Very attractive/because I work in this field!./ Baccano/Tamale/Tremendous!Required.The MTA must renovate this 1776 station.now????I'm tired of broken stairs and paint on my head./Junction Blvd and Roosevelt's corner is so terrible to walk because it is full of worse merchants than the market and it looks terrible.Will.The MTA staff was very difficult to understand.Is there a broken English?Do you have any money on the card?I checked at her booth and obviously asked a foreigner because it was 0.00.The minority police officers could not search me so that they could not give a simple answer, so I walked to the Grand Avenue next to the Queen Center and refused to ride a free ride with tourists.I refused to pay for the failed system.It can be better like NYC's people.When snow falls, the stairs are dangerous and no one is cleaned.A rude counselor who takes attitudes when needed.Dirty elevator and platform.It is the most disappointing station I have been to, especially during commuting time, always runs frequently.There is no garbage completely compliant with ADA regulations."
340,"The entrance to the southern stairs of the station was closed for two weeks, but I don't know why I couldn't see a repairman day and night.Inside the station, the main gate of the platform that connects the two directions (Manhattan and Queens) is closed within almost half of the time.It is actually important to this specific station because only the train from Flushing has been operated in the nearby 82th Street for several months, and the commuter people may have to go to Flushing and transfer to the Manhattan train.It also makes other tickets much more busy. "
341," At least 82 stIt is not as bad as it is, so it still offers two stars.On Sunday, July 16, 2023, around 3:35 pm.No matter who the agent was (I have seen this man in the 111st station), I have to send a social technical course.He is almighty, and he seems to act accordingly if he does not like it.It is a typical person who thinks of himself as a god when he feels a little rude and a little superior than others./ Old train station is almost unlimited and needs a lot of improvement.But I like Jackson Heights.Every time I was in this area, I always enjoyed local food and enjoyed it.delicious.And home drinks are fantastic.This time I ate coconut.??????…/I was very disappointed by this person (perhaps Asian).Why can't he speak well?I told him that my unlimited subway card didn't work and refilled two days ago to help help, but he was too rude and screamed.And I really regret that I talked politely to him. "
342,"This station is not the most crowded and enjoys the scenery on a beautiful day.I got a wonderful city view.It is between the 61st St.-Woodside Station and the 74th St.-RooseveLT station.Still, the neighborhood is good.It is old.You can't use the elevator, but you can go to the 61st Street where you can use the elevator and the general and express stop, and you can easily move to the Long Island train station.There is no garbage, but a renovation work may be required (as of August 2016).Wheelchair access is not possible./ The subway station requires repair, paint, elevator.Line 7 service is good.I will give you four stars from the funny number.It is very dark because there is almost no lighting/around it.I'm glad I don't have to come back here.Buses and shops???????…/Two useless employees sitting in the booth/station status requires improvement.And Roosevelt stop/Once again MTA service is the worst./ also called Fisk Avenue./venomous"
343,"61 Street-Woodside is a pretty bad station.The platform is slightly small because of a lot of transit.There are Lirr and Q70/Q53.The infrastructure of the station must also be updated.But I really like the scenery of this station.It is also a very easy way to approach LIRR.I also like the entrance to the flushing platform and the brilliant signs on the stairs.COM Difinitve Astronomical Projector6cammmra./ Good/Lirr and Subway, "
344,"The pigeon feces and infection of this station are disgusting.While trying to go to the reverse platform, there are bird shit everywhere and birds fly over their heads.I hate this role.I know that I can't control everything.So do what you can do, clean the bird shit, get rid of bad smells, and do more to prevent birds from entering this station.This station is one day left to be occupied and abandoned by the birds./52 Street is one of the worst stations I've been.This station is very deteriorated and shouts, ""Please help.""Most of the middle -floor area is made of wood.I really need to fix this station. "
345," I like the old taste of this station overall.If you want to experience the 2000s again, this is your station.I also like some views here.Perhaps one of the worst stations in train 7 or full MTA system.The rainwater falls off from the rugged floor, the bumpy staircase, and often the rainwater falls from the ceiling of the waiting room.dangerous.I've seen people sliding down and falling down a few times.I am also uncomfortable to use the stairs, so I walk straight to 46th Street to come to work.Also, it is not safe to peel off the paint on the floor, walls and ceilings.Young people and children inhale paints every day.I hope someone will file a lawsuit in the city ... So far, it is the worst station in the entire MTA./Someone will be injured.Otherwise, commute is very easy.If you have time to walk to Woodside-61 ST, you can take the express. It seems to always be under construction, but this station can be closed at any time.I try not to use it even if I try to avoid using it.They made this announcement when the train was stopped in the area as scheduled and displayed on the screen.They had to wait again because they did not set the Road 7 on the other side (fortunately they actually arrived on time and the time was accurate).Then I arrived at 61st Street and transferred to Manhattan 7 express train across the platform, but the door does not open!So I changed the platform again and finally I was able to board the right train for more than 45 minutes later than usual.Oh, and I know that the MTA is generally poor, so I invest an hour to go to a 30 -minute place.But at this point, the MTA is expensive, but it is very incompetent, so it will be at least 20 minutes late for work.#mtasucks #higherpriceSworseservice #nomorefarehikes #nomorefarehikesThe only potential problem is the staircase, which has been dangerous for a while.This station continues to repair a kind of repair.At 5:55 am now, I couldn't ride the train because of the congestion!It's less than 6 am!Update: Now two trains are full of gills!It's not yet 6 am!/The train runs frequently and you can see Manhattan's wonderful views.Do not throw away trash anywhere.You can use modifications/reconstruction.I like this neighborhood where quiet and everything is on foot./ Manhattan is a small station in front of my eyes.The problem is the entrance./Subway station/cool ./ Huge/breakfast"
346," things I hate.It will be an aging infrastructure and a kind of balcony.The balcony is too narrow and small.We think we can fall easily, so we need to add some bars.You can also repair the infrastructure./ This is a subway station in 33th Street and Queens Bouivard, which is the only station where train 7 stops here.Safe and safe.It is one of the safest subways in Queens.And it was always a working community.There are many movie studios now, but I have to be invited to the studio I want to recommend.If you come to New York, please visit and keep getting information.have a good day.Thank you for keeping reading my review and watching my photos.Concrete design usually helps to reduce the sounds heard in expensive train stations.But there is no wheelchair access./ My station far from home.Except that office workers, high school students from nearby Laguardia Community College, Aviation High School are mixed with high school students. "
347," Disadvantages: The 7 trains are usually delayed./ If you missed getting off the train from the previous station (40-st. Lowery St Station) that returns from Manhattan, you get off the train from this station to La Quinta in QueensThere are many stairs ... There are a few decent restaurants .. And there are a lot of stairs and some cars that drive fast.Can you call me and wake up?/It is a beautiful place.The time is all clean/then, unlike Bronx and Manhattan, there is so much space/the best train, this is the best train.My 7 train.To do this, I always rode this train ./ Think about a unique subway experience.I really miss those days."
348,"It is a train station where clean and trains run every 2-3 minutes and use it as a lot of people.The low floor is for train to Manhattan.Upstairs, 7 trains are used to operate a train to Astoria and Flushing.I suggest photographers to take pictures on seven platforms.This is also the only station where the B-Division stops on the same platform as the A-Division.//It's a symbolic station for photographers, but it's quite noisy.There are a lot of illegal immigrants!everyday.People do not pay the fee, don't jump on the ticket gate, and look at other places while watching the police!The MTA will go bankrupt soon!It achieves the purpose of connecting anywhere in Manhattan and Brooklyn.At night, it didn't happen to me and I have never seen something worse than usual in NYC's subway, so I want to go out and run away.Likewise, this station is old and completely dirty ... and of course typical cases.It can be noisy, why should it be quiet here?Noise is heard from 2 ~ 3 distance.NYC is also normal.Each person must decide whether or not it is passionate about it.Your experience can vary greatly depending on the ability to climb stairs and weather.It is currently under construction and the space is very limited due to construction and there are too many people, so walking on the platform is very dangerous."
